Rank,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
1,Health technology,93,94,96,94,SI
2,Energy,72,61,50,75,"NESR,PBF,DK,NGL,PARR,DINO,VLO,FTK,EFXT,WTTR,MPC,INSW,PBT,NBR,OII,FET,KGS,FTI,CVE,TRGP,YPF,PSX,EC,TEN,WBI,BWLP,FRO,LBRT,WKC,LPG,SUNC,CMBT,SM,EQNR,PR,APA,OVV,STNG,HP,AROC,SUN,SOBO,SU,VIST,DHT,TS,PAGP,PAA,PBA,EE,TRMD,LB,TRP,PBR,FANG,IMO,KNTK,CNQ,PDS,HAL,WDS,E,VAL,CHRD,TNK,SEI,TDW,XPRO,NGS,INVX,DTM,OKE,EOG,CVI,TBN,SDRL,REPX,OXY,NE,MUR,AM,DKL,DVN,APC,XOM,EPD,WHD,WES,WMB,LNG,TTE,COP,ENB,CVX,CQP,FLNG,TPL,ET,GLNG,BP,SMC,KMI,SHEL,BKR,HESM,KRP,SLB,VNOM,TGS,RNGR,MTDR,MPLX,USAC,VTOL,SBR,PNRG,DMLP,CAPL,GLP,MGY,BKV,WFRD,NC,FLOC,HMH,IMPPP,WHK,CRC,CNR,ARLP,AR,RRC,NFG,EROK,NCSM,CNX,BTU,EQT,EXE,CCJ,GPOR,VTS,LEU"
3,Healthcare,65,74,60,55,"ERAS,AGL,QTTB,ABVX,ALMS,ANRO,SYRE,DMRA,RLYB,SLGL,DFTX,ORKA,LQDA,MBX,KOD,PRAX,RLAY,FBRX,TXG,DNTH,RVMD,BIOA,NBTX,MCTA,TNGX,CDNA,BDSX,MANE,ETON,PACS,URGN,BTSG,CELC,APGE,BTSGU,EMPG,TWST,TVTX,GH,CRNX,FTRE,FTH,HNGE,CUE,QURE,FBIOP,GLUE,AXGN,TRAX,EWTX,OSCR,CORT,STRO,INBX,CNC,ANAB,DVA,ARWR,VCYT,ELVN,IMUX,MNPR,PVLA,ROIV,IMVT,HUM,ESTA,COGT,BWAY,AVNS,ELMD,AMN,ACHC,RCUS,MPLT,KYMR,CGEM,PTGX,NHC,KNSA,AVTX,GHRS,TENX,PLSE,ALKS,TCMD,ILMN,ZBIO,RAPP,TRVI,IART,LGND,PGNY,AMRX,JAZZ,TGTX,ASTH,MRNA,XNCR,TYRA,KRYS,BCAX,DYN,ADPT,SEPN,CAPR,INDV,APLM,NGNE,PNTG,XENE,MIRM,LNTH,CGON,HCSG,CON,AXSM,COAG,BLTE,SION,GKOS,BRKRP,OMDA,VTRS,CVS,LBRX,JBIO,TECX,PARK,GRDN,RIGL,PMN,LIVN,RPRX,NKTR,MD,CYTK,BRKR,BLLN,WST,SNDA,SRZN,SNDX,PDEX,PHVS,MOH,LLY,UNH,ANIK,DRUG,INCY,NBIX,DNLI,GPCR,AMLX,VCEL,BIIB,OMCL,ARQT,TEVA,EXEL,BBIO,HAE,CLDX,BLFS,IMNM,MRK,GRAL,CHE,JNJ,ELAN,CRL,ICUI,ABBV,CAH,IRMD,HSTM,SLP,VTVT,TECH,BBNX,AUPH,PTCT,IDYA,UTHR,HSIC,ASND,MDGL,SRRK,AVBP,HALO,ALHC,ELV,ICLR,UFPT,BMY,PCVX,AGIO,AKTS,SHC,PTHS,ZYME,PRPO,TFX,AMGN,PRVA,DGX,MEDP,SIBN,ARGX,MLTX,DXCM,CLPT,PCRX,UTMD,HQY,VRTX,ACAD,KMTS,PEN,RVTY,RYTM,STOK,TBPH,ALMR,HROW,SOLV,IQV,RARE,EW,GILD,VKTX,IRON,STAA,WAT,MAZE,BMRN,LMAT,ADUS,ODTX,TAK,HRMY,KIDS,VERA,ATRC,INMD,RGEN,LH,GSK,MESO,SMTI,BAX,CBLL,SPTX,SUPN,BIO,CTEV,EHC,ALGN,IMCR,INVA,MCK,CBIO,CNMD,A,MMED,REGN,MLYS,TMO,FLGT,BDX,GMED,THC,ITGR,TNDM,BLCO,COLL,WRBY,VRDN,CI,FMS,COO,STVN,CSTL,LFMDP,DHR,GMAB,ONC,MMSI,ENOV,ATR,KARD,ENSG,AVLN,ANIP,MTD,PFE,SGRY,BEAM,ZBH,PHG,ASMB,NAMS,SDGR,COR,IDXX,RDNT,VEEV,AZN,LKFT,USPH,MDT,SNN,STE,SNY,ABT,TARS,HIMS,QGEN,LEGN,MDLN,SYK,AZTA,BNTX,ALC,JANX,PBLS,QDEL,VOR,AMPH,HCA,GEHC,IONS,ZLAB,RMD,UHS,PBH,CRSP,ALNY,PAHC,SGP,IRTC,SRPT,INSM,HTFL,TEM,WGS,ISRG,WAY,OPCH,INSP,KLRA,AORT,PODD,TMDX,PRCT,CAI,AAPG,DOCS,ZTS,BSX,SPRB,QNCX"
4,Financial Services,58,67,61,57,"MAAS,HUT,SEZL,ENVA,ECPG,WULF,ATLC,CARE,KF,AAMI,MRX,CLBK,MSBI,EZPW,UFCS,VBNK,CMTV,BOTJ,CCXIU,FSEA,DGICB,STT,PGC,FNRN,HFBL,TWN,VCTR,GCBC,AMG,IX,BFH,BBAR,WT,PS,PLGO,IFS,BAP,VIRT,ALRS,TRST,FSBC,CHMG,SMFG,RBKB,AMAL,TD,BNY,HG,RY,BPOP,BMO,VOYA,GL,TRV,PCB,PLBC,CZWI,FFBC,UVSP,RBB,AROW,TFSL,CBC,CIB,CM,PFIS,MUFG,MYFW,BWFG,PKBK,CNO,WSFS,OBK,FRST,ATLO,UVE,HSBC,FCAP,BNS,CBNA,SBFG,PBFS,IVZ,TCBK,CBK,OPY,FISI,SHBI,RRBI,IBKR,ACNB,SMBC,BEN,STK,TFIN,PFG,AIZ,FRAF,MBBC,BMA,MBIN,FDSB,MCY,THFF,CFG,SKWD,TMP,FNLC,CIVB,PDLB,CCNE,GS,ALL,BSRR,BBVA,SRCE,BY,CNOB,CTBI,CFBK,UBS,SFST,WRLD,NFBK,SLF,FVCB,THG,FCFS,KB,SMBK,DCOM,FBP,OBT,USB,FITB,MS,PEBO,HBT,MCBS,RBCAA,AVBH,KINS,LCNB,STBA,CACC,MKTW,ZION,ING,MTB,FULT,UMBF,CPF,BWB,PEBK,BCS,WTBA,AMTB,LSBK,FMBH,CPBI,BLX,CAC,CATY,FUNC,PNC,CWBC,AGM,ITIC,SHG,HQL,MFC,GSBC,BSTZ,WABC,TSBK,ASIC,NBN,CNS,EWBC,ACT,RGA,HWC,JXN,MCB,FGNXP,CLST,SLDE,HAFC,NBTB,HBNC,SPNT,COLB,EBC,HWBK,WSBF,HFWA,FBLA,BVFL,FCF,MET,BCAL,SEIC,FBNC,EMF,QCRH,FMAO,SRBK,FUSB,FBIZ,RVI,MRBK,EBMT,BCML,CAF,FXNC,ECBK,BUSE,HMN,CFR,WSBC,LARK,OSBC,UBSI,CB,AVBC,BANC,FAF,WTFC,BAC,RF,BOH,ABCB,KEY,INDB,TWFG,GABC,NIC,OFG,BHB,PFS,WASH,RNR,EFSC,FCBC,RIOT,AXS,ASB,ISTR,WBS,LOB,SIGI,FDBC,COFS,BOKF,CEE,ONB,HAPN,EIG,MNSB,MBWM,CZFS,FIBK,PRI,PEO,AUB,GLRE,BOW,C,IOR,BHF,NECB,FGBIP,ESQ,EQBK,VABK,HBCP,BFST,WAFD,EGBN,SRV,WHG,LMND,TROW,IGIC,RDN,COSO,CNA,PFBC,ORRF,EMO,NFJ,HTB,CCBG,AFL,HYNE,DBRG,ADX,UNM,CCD,CINF,NBHC,HASI,TRIN,MPB,FNWD,PRU,MCHB,HQH,MVBF,SFNC,RNST,GGAL,CBNK,TRMK,SYBT,BGR,FCCO,BCH,FRME,PBHC,PMTS,NMIH,LIFE,CBU,BSVN,EG,JPM,FHB,BPRN,L,CVBF,BMRC,AFBI,PRK,GAIN,BKU,INBK,HNVR,FNB,BST,LNC,FHN,CBAN,BHRB,AFRM,GOLD,NKSH,ESNT,ACGL,EFSI,BTO,FHI,SBSI,RM,CBFV,HTH,BFC,BSAC,HOMB,MSCI,RMBI,CHCO,NCZ,UCB,USCB,GBCI,V,CZNC,BME,HCI,MTG,FBK,BANR,NCV,TCBI,EVT,CBSH,OVBC,UTF,ACV,FG,AMP,SCHW,OVLY,AFG,JMSB,IBOC,SFBS,IBCP,CII,PLMR,BBT,UBCP,WTM,HRTG,CFFI,FRBA,AX,ASGI,MXF,TFC,TCBS,UNTY,ALLY,HBAN,HIG,AIO,FRBT,GGZ,CUBI,RVT,VALU,CSQ,SPFI,STC,AXP,ETO,RJF,AON,BCV,ETG,SBCF,MEGI,SPXX,FSBW,IREN,OCFC,WRB,RMI,ATLCP,LGI,QQQX,GDV,BCAT,NBBK,CASH,GAM,FFA,NIE,FFIN,BUI,EQH,PROV,MCO,CRBG,TY,AUBN,RLTY,CBOE,PB,MIAX,SSB,SATA,JCE,OZK,MBINL,FCNCA,TBLD,CNOBP,NEWTP,WFC,HTD,CSWC,NBXG,THQ,ECCC,ETB,JEF,BMEZ,EOT,OXLCO,GLU,CET,GUG,HIFS,TOWN,MSBIP,MBINM,EFSCP,SFBC,DB,OMF,ORI,AGO,TCBX,AIG,UNB,OCCIN,MA,STEW,SPME,MBNKO,OXLCN,MMD,BWBBP,SCD,NNI,FRHC,WSBCO,MNSBP,EICA,PRAA,NDAQ,WF,LCLN,BUSEP,MGYR,BPYPM,LKFN,EIIA,CCID,PNFP,DGICA,ONBPP,MBINN,SLMBP,SOR,SPMA,BMN,OCCIM,RLI,UMBFO,VLYPO,ONBPO,CCNEP,ETX,ECAT,WAFDP,BTT,PDPA,TBBK,WTFCN,FOA,SAFT,VLYPP,UTG,LDP,MKL,FRMEP,DFP,HPF,AJG,HIPO,HPI,VLYPN,SII,HBANL,PGR,TYG,WAL,PFX,FNF,FDUS,PDX,FFC,PSF,SLM,ISBA,SPGI,TIPT,PUK,IGI,VRTS,SYF,SF,SDHY,BBN,IBN,EVR,BANX,TCBIO,BANF,NBB,PYPL,OZKAP,FLC,BWIN,EOI,PTA,MRSH,RNP,FPF,GSHD,FULTP,JCAP,AB,LPLA,TRU,COF,AII,FCNCP,HOOD,PJT,MC,ACGLN,BLK,EOS,SIGIP,FCNCO,HBANZ,ETOR,JLS,ACGLO,WTW,HBANM,ARCC,GLAD,HBANP,ONIT,MAIN,GBLI,HTGC,IIF,APAM,ASA,MSDL,BN,BNT,FDS,CRVL,VEL,SNEX,XP,PSUS,AMSF,PDI,GBFH,ZIONP,RYAN,FSUN,BAM,APO,BXSL,CME,TREE,MCI,PIPR,TW,KNSL,BRO,ROOT,ICE,ARES,MPV,BX,XZO,HERZ,LAZ,SAR,DXYZ,KLAR,CCB,TPG,KKR,GLXY,MORN,XFLT,GSIW,TSLX,ERIE,WD,HLI,CG,AFJKU,PFSI,TRUP,BETR,FIGR,PWP,SOFI,HDB,AIFU,VCX,KMPR,BOT,STEP,HLNE,MKTX,UPST,COIN,FUTU,CRCL,BMNR"
5,Technology,56,48,59,55,"MGRT,SNDK,AXTI,CHRN,BAND,MXL,MU,LITE,WDC,STX,ALOT,VPG,DELL,ICHR,VICR,AEHR,SIMO,DOCN,INTC,TSEM,SILC,UMC,PENG,ASX,AMD,UCTT,IMOS,VIAV,AAOI,AMBQ,MEI,ALAB,OCC,MRVL,VSAT,DAVE,PTRN,DDOG,FROG,AIP,CIEN,ACMR,PANW,FTNT,KLIC,MKSI,VSH,AMAT,FSLY,HPE,HQ,SHAZ,TER,LASR,COHU,ARM,BRUN,STM,OKTA,FLEX,LRCX,CRWD,ASYS,ATEN,TTMI,COHR,FEIM,EXTR,SITM,NAVN,FORM,MITK,SMTC,TWLO,BHE,ONTO,GLW,OOMA,AMKR,TENB,VECO,BELFB,CRDO,LSCC,KLAC,ASML,CEVA,BELFA,SNOW,ALNT,YOU,PDFS,CIFR,SYNA,DGII,ARW,SKYT,CCSI,RDVT,KN,RAL,QLYS,CSCO,WYFI,WATT,KEYS,AKAM,AVT,PLXS,SEDG,CGNX,RELL,MTSI,RELY,VRNS,SNX,ACLS,FLYW,SANM,ROG,TXN,NET,POWI,FFIV,FIVN,MPTI,ON,LFUS,ALGM,ESE,SCSC,RAMP,RNG,ADEA,AAPL,SLAB,DIOD,GFS,PLTS,S,KARO,CNXN,ADI,TSM,MPWR,OUST,CORZ,CTS,ST,Q,ACIW,NATL,UMAC,ITRN,TDC,DBD,ANET,WOLF,RBRK,SWMR,DJCO,CVLT,OSPN,JBL,INGM,ENTG,AGYS,DBX,ZETA,RDWR,APLD,LYTS,MDB,GTLB,QCOM,INOD,CPAY,PLUS,IOT,BOX,APH,MLAB,GRND,ENPH,XYZ,BKTI,FTV,CLS,GCT,ZM,GEN,SAIC,MCHP,HPQ,CAMT,DT,SONO,IBEX,KSPI,AOSL,AVGO,ALRM,TDY,ADP,FN,ACFN,BRZE,PAYX,IPGP,CSIQ,CDNS,PRGS,MCHPP,CRUS,VRSN,APPN,UPBD,IBTA,BILL,PI,PAY,RMBS,MANH,QRVO,CLBT,LOGI,WEX,GRMN,DAKT,EEFT,P,FSLR,ESTC,AMBA,ZBRA,TSAT,PCTY,EVTC,TTAN,BMI,SAIL,CSQR,MSI,MBGL,TEAM,PAYC,FICO,QNT,PLAB,INTA,CLMB,LYFT,DCBO,SWKS,MQ,JKHY,DOCU,APPF,U,TEL,TOST,CDW,QTWO,AVNW,SKHY,CHYM,STRF,ALIT,SHOP,DFIN,CLFD,STRC,SSNC,SONY,LIF,WDAY,GDDY,MSFT,GWRE,ALKT,DUOL,UBER,ROP,NICE,CACI,PLTR,DSGX,WK,PGY,AEVA,IIIV,OTEX,PSN,BSP,SMCIP,ADSK,SPSC,CRM,IDCC,CHKP,ADBE,NCNO,GIB,GDS,KVYO,FOUR,BDC,ZS,SNPS,IBM,OSIS,FORTY,FIG,VNT,BSY,PAYP,UI,STRD,BR,ITRI,EXLS,PTC,G,TYL,HUBS,VIA,OCTV,BL,MNDY,PCOR,JKS,FIS,CALX,TRMB,ARQQ,SAP,ASTS,STRK,DOX,IONQ,OLED,PAR,IT,SMCI,QBTS,BLKB,PEGA,CTSH,LDOS,CNXC,CRWV,ACN,EPAM,WIX,ORCL,INTU,CBRS,GLOB,BLSH,MSTR,EFOR"
6,Real Estate,54,67,59,56,"PEB,CBL,XHR,OUT,FVR,PSTL,APLE,MAC,WELL,HST,NHP,RHP,VTR,LXP,PINE,AAT,AHR,DOC,CURB,LAMR,CDP,NHPBP,HIW,IVT,JAN,CTO,KRG,SPG,BNL,NHPAP,CUZ,IIPR,SKT,FRT,MDV,EGP,RMR,PECO,HR,GTY,TRNO,CTRE,FR,VNO,IRM,UE,KIM,BRX,SEG,OHI,ALX,PLD,EQIX,CHCT,LTC,COLD,ESS,NNN,KRC,VTMX,LINE,OLP,BFS,STAG,REG,EPR,FOR,AKR,DEA,WPC,EQR,ARL,UHT,UDR,MMI,ADC,ADAMN,SAFE,LANDP,INVH,ADAML,CPT,BXP,PSA,LANDO,EPRT,AVB,XRN,AXR,SBRA,FCPT,AMH,BPYPP,WHLRD,CHCI,NLY,CUBE,JLL,ELS,JOE,TCI,GOODN,SLG,CCS,IRS,BXDC,BPYPO,BRT,NHI,AGNCM,AGNCP,AGNCN,EXR,AGNCO,ADAMM,AGNCL,IRT,AGNCZ,MAA,MLP,UMH,ADAMZ,REGCP,SMA,FRPH,BEKE,NMRK,DLR,REGCO,REXR,GLPI,MAYS,ARR,WY,HHH,SUI,RYN,MRP,CBRE,VICI,STWD,CSR,FSV,NEN,AMT,ACR,SBAC,BXMT,ARE,STRS,CCI,OZ,CIGI,OPI,CSGP"
7,Industrials,54,47,49,51,"SIF,FCEL,BUUU,BE,PHOE,VSTS,NCEW,CDNL,XMTR,CVLG,STRL,KFRC,FIX,KELYB,AGX,TH,ARCB,POWL,CRS,MEC,PKOH,RXO,MATX,CYRX,GEO,ATI,CXW,MYRG,FA,PBI,JBHT,TWIN,CMPR,MAN,EDRY,DCO,ECO,GRC,HTLD,WERN,BLBD,LGN,CECO,FSTR,ATRO,GEV,VRT,TKR,HLIO,GHM,IESC,CAT,KELYA,PRG,CHRW,PRLB,EFTY,HXL,TFII,KNX,RHLD,ESOA,LSTR,UNF,ACA,SNDR,ALGT,MSM,ECG,CMDB,ENS,MTZ,RHI,PLPC,R,PL,NMM,AIR,MRTN,SWBI,ARMK,PKE,VMI,GNK,ODFL,DXPE,EXPD,SXI,PWR,CSX,CMI,XPO,FDX,PESI,GWW,DAL,UHAL,VVX,HUBG,DAC,ASC,MG,SBLK,FPS,UNP,ZIM,WWD,MRCY,HWM,TRN,HURC,GSL,LUV,DY,KEX,WCC,AZZ,AIT,CNI,CASS,AIRT,SAIA,RRX,DSGR,ESLT,RBC,AEIS,TNET,SWK,LXFR,WTS,BRC,CLH,EML,ROK,URI,GNRC,CP,RYZ,ESEA,HRI,IEX,TPC,DLX,WSC,AAL,GE,JCI,MAS,CW,UAL,TRNS,SNA,KFY,AAON,AME,CR,CPA,UPS,WLFC,PCAR,NDSN,MIDD,WAB,PAM,DE,KMT,ZTO,TTC,AER,GD,BBSI,PH,GHC,OC,EBF,TEX,RTX,OTTR,HEI,ARXS,ASTE,CARR,GVA,ABM,GFF,WM,SEB,MAIR,MLI,GIC,TNC,BCO,CAAP,RCMT,VSEC,EME,GENC,TT,GPN,DOV,ZWS,FELE,ISSC,ESP,ULS,ETN,CIX,CTAS,AYI,TITN,DCI,ATKR,FBIN,EMBJ,SPXC,APOG,CCEC,CMC,ITW,TAYD,RBA,FTAI,CDLR,GTES,IIIN,RTO,MATW,CWST,TXT,AIRTP,LTM,WCN,FTAIM,ITT,LII,RSG,FLR,DRS,HONA,MGRC,GBX,WMS,HUBB,OSK,POWWP,MMM,FAST,REZI,FLS,FSS,TRC,AGCO,AXON,FDXF,TATT,GATX,FER,LECO,HON,SUNB,CBZ,TISI,MSA,APG,CRAI,CXT,SKYW,JBTM,CSW,LIME,DPC,ICFI,LOAR,VSECU,EMR,VLTO,ALK,KAI,IR,WOR,RYAAY,GXO,FCN,LMT,RGR,OMAB,FERG,ENR,VRSK,J,MWA,LNN,MDA,KRNT,SARO,GFL,BA,TTEK,KE,RJET,OFLX,XYL,TREX,WSO,RKLB,CSL,PAC,PPIH,TDG,EXPO,LHX,EPAC,ALLE,AADX,BBUC,ATS,ROAD,AOS,ROCK,CAE,ALG,GGG,ONT,BWXT,ASR,HY,AMRC,AERO,LPX,KBR,OTIS,CDRE,AWI,BXC,EFX,WLDN,INIO,RELX,CNM,HII,BETA,AMSC,HURN,AMTM,POOL,TRI,CAR,DLB,SITE,MMS,BWMN,SPCX,LMB,VOYG,MIR,CPRT,ESAB,BAH,STN,BKSY,ACM,BLDR,EVI,SMX,PRIM,SYM,PNR,EQPT,KTOS,KRMN,AVAV,XE,HAWK,FLY,YSS,NNE,MFP,PSIX"
8,Communication Services,49,56,47,48,"QMMM,ATEX,BBGI,STRZ,NBIS,SPHR,TIGO,IRDM,GSAT,GRPN,MSGS,SCHL,MSGE,LILAP,MCS,EVER,ZD,ROKU,WLY,WLYB,SIRI,ADV,GOOGL,GOOG,ECHO,MANU,WBD,QNST,IDT,SKM,AMX,OPRA,LYV,VOD,BATRA,JOYY,PSO,MGNI,IMAX,MTCH,BATRK,CNK,LLYVK,LLYVA,PPLI,EA,ATNI,CRTO,OMC,FWONA,FWONK,RDDT,TTWO,VZ,RCI,GRVY,TIMB,CHT,TKO,VEON,ATHM,PHI,META,BIDU,FOXA,BZ,FOX,WMG,LBRDP,BCE,WPP,VSNT,PINS,APP,YELP,KT,DIS,T,SPOT,LFTO,CMCSA,TDS,BILI,NFLX,RBLX,AD,GIBO,GLIBK,GLIBA,ZG,Z,TTD,CCG,LBRDA,LBRDK,CHTR,CABO"
9,Consumer Cyclical,48,58,50,43,"VSXY,LVLU,GTX,ELA,BJRI,MOV,RSI,LIND,VEEE,FLXS,INTG,MYE,ANDG,CTRN,CALY,LTH,MOD,PRSU,CAKE,CBRL,BZH,CROX,MUSA,KRT,LOCO,VIK,CASY,VAC,SGHC,SAH,BSET,M,SN,LQDT,BWA,ETSY,OPLN,CVEO,ROST,ESCA,PENN,YETI,BWMX,MGM,MGA,PLOW,RCKY,MCRI,EAT,KSS,VGNT,GIII,PHIN,AIN,COOK,PII,GOLF,BBY,RUSHA,EBAY,LEA,FTDR,HZO,BDL,KMX,TILE,HBB,WEYS,CYD,SHOO,LGIH,RUSHB,MLKN,PAG,GCO,IHG,LEGH,HOG,H,OSW,DIN,KTB,TMHC,JAKK,BROS,WSM,MAR,BURL,VVV,MHO,REYN,CZR,DORM,RGS,BH,TRS,MLR,RIVN,GEF,SBUX,MCFT,TXRH,HVT,RRR,CART,CCK,EXPE,SON,JILL,FIVE,GM,LZB,W,STRT,THRM,RL,TPR,CRI,PRKS,LEVI,ALSN,BALL,BC,JOUT,RH,BOBS,LAD,PKG,AEO,HOV,HLT,COLM,ABNB,TOL,TNL,AMZN,CVCO,DAN,GLBE,TJX,SKY,URBN,LOVE,ANF,RVLV,SLGN,MTN,XPEL,HRB,BYD,GRBK,HGV,QSR,BIRK,GNTX,SMP,VFC,MTH,AMCR,SW,HMC,ALH,AS,PHM,CARG,DECK,GPC,ATMU,DOO,VC,CPHC,SIG,DHI,DKS,AAP,ALV,JD,LCII,DRI,HNI,CHH,DDS,NATH,PVH,OXM,MNRO,HAS,RCL,KBH,SCI,AN,YUM,HTHT,RACE,MBUU,TSLA,MHK,GME,WWW,YUMC,WINA,CPS,RICK,GIL,ABG,FOXF,ETD,ZUMZ,HD,AVY,WH,MELI,WGO,ONON,ORLY,CCL,DASH,SE,BBWI,KEQU,BKNG,ULTA,ADNT,TM,NCLH,MCD,CHDN,ATAT,BOOT,FUN,IP,IBP,WYNN,LVS,ASO,SGI,CVNA,BABA,LOW,FND,GAP,APTV,THO,PATK,AZO,CMG,BKE,BFAM,DPZ,DKNG,PZZA,CSV,GPI,CAVA,MMYT,ROL,PDD,LEN,LKQ,NKE,EYE,CPRI,TCOM,BGSI,PSNY,BBW,CHWY,KRUS,CPNG,FLUT,PLNT,LULU,TSCO,WING,SHAK,WHR"
10,Consumer Defensive,46,59,50,49,"COCO,JDZG,AGCC,PRE,DAR,CHEF,ANDE,DAO,LINC,HELE,MAMA,ADM,SPB,MNST,PSMT,SENEA,TBBB,EPC,TGT,SENEB,UNFI,MICC,LWAY,FMX,COKE,IPAR,WILC,BG,CENT,MO,CENTA,PM,BUD,LAUR,VLGEA,IMKTA,DLTR,APEI,BTI,KO,UTI,CCEP,PFGC,PRMB,SJM,USFD,JBSS,CL,ACU,WMK,KOF,KDP,HRL,KHC,ALCO,KVUE,NATR,CHD,CALM,SYY,SFD,DG,USNA,FC,PG,KMB,MDLZ,CHSCL,CHSCN,UVV,NGVC,CHSCM,TSN,CHSCO,BJ,WMT,UL,TR,COST,LW,CHSCP,EL,YSWY,DEO,CVSA,PXED,STRA,ELF,TPB,HSY,PRDO,GIS,PEP,FRPT,TAP,EDU,CPB,OFRM,KR,FIZZ,INGR,CLX,POST,STZ,MKC,JJSF,LRN,RYM,DIT,SAM,SFM,MGPI,DMC,LOPE,PPC,MZTI,CELH,ODD,OLLI,COE,SDOT"
