Section,Ticker,Price,Relative Strength Percentile,1 Month Ago Percentile,3 Months Ago Percentile,6 Months Ago Percentile,Sector,Industry
🔹 RS > 90: Leading Stocks,PTIR,26.21,99,99.0,99.0,99.0,ETF,ETF
🔹 RS > 90: Leading Stocks,SEZL,144.12,99,99.0,99.0,99.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,RKLX,95.11,99,99.0,97.0,99.0,ETF,ETF
🔹 RS > 90: Leading Stocks,ALMU,21.5,99,99.0,99.0,98.0,Technology,Semiconductors
🔹 RS > 90: Leading Stocks,HOOX,102.54,99,99.0,91.0,99.0,ETF,ETF
🔹 RS > 90: Leading Stocks,NEON,27.85,99,99.0,99.0,99.0,Technology,Electronic Components
🔹 RS > 90: Leading Stocks,OKLO,74.63,99,99.0,97.0,99.0,Utilities,Utilities - Regulated Electric
🔹 RS > 90: Leading Stocks,CDTX,62.78,99,99.0,97.0,93.0,Healthcare,Biotechnology
🔹 RS > 90: Leading Stocks,RKLB,47.26,99,99.0,99.0,99.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,LEU,245.1,99,99.0,92.0,93.0,Energy,Uranium
🔹 RS > 90: Leading Stocks,DAVE,209.82,99,99.0,99.0,99.0,Technology,Software - Application
🔹 RS > 90: Leading Stocks,AGFY,25.54,99,99.0,99.0,99.0,Industrials,Farm & Heavy Construction Machinery
🔹 RS > 90: Leading Stocks,MP,62.96,99,98.0,97.0,92.0,Basic Materials,Other Industrial Metals & Mining
🔹 RS > 90: Leading Stocks,ARQQ,38.0,99,99.0,96.0,98.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,SMR,50.47,99,99.0,96.0,99.0,Industrials,Specialty Industrial Machinery
🔹 RS > 90: Leading Stocks,HOOD,103.1,99,99.0,98.0,99.0,Financial Services,Capital Markets
🔹 RS > 90: Leading Stocks,PLTR,159.22,99,99.0,99.0,99.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,HSAI,21.04,99,99.0,99.0,99.0,Consumer Cyclical,Auto Parts
🔹 RS > 90: Leading Stocks,ASTS,55.38,99,99.0,99.0,99.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,VRNA,105.15,99,99.0,99.0,98.0,Healthcare,Biotechnology
🔹 RS > 90: Leading Stocks,VHC,20.49,99,95.0,94.0,93.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,IONQ,43.48,99,99.0,99.0,99.0,Technology,Computer Hardware
🔹 RS > 90: Leading Stocks,CRDO,101.6,98,99.0,95.0,99.0,Technology,Semiconductors
🔹 RS > 90: Leading Stocks,CLS,166.16,98,98.0,96.0,98.0,Technology,Electronic Components
🔹 RS > 90: Leading Stocks,GEV,646.87,98,98.0,98.0,97.0,Industrials,Specialty Industrial Machinery
🔹 RS > 90: Leading Stocks,RGTX,49.62,98,95.0,91.0,98.0,ETF,ETF
🔹 RS > 90: Leading Stocks,RBLX,121.5,98,98.0,96.0,96.0,Communication Services,Electronic Gaming & Multimedia
🔹 RS > 90: Leading Stocks,HIMS,57.31,98,98.0,98.0,99.0,Consumer Defensive,Household & Personal Products
🔹 RS > 90: Leading Stocks,IONX,67.78,98,99.0,96.0,98.0,ETF,ETF
🔹 RS > 90: Leading Stocks,BE,33.81,98,93.0,96.0,98.0,Industrials,Electrical Equipment & Parts
🔹 RS > 90: Leading Stocks,APP,365.1,98,98.0,99.0,99.0,Communication Services,Advertising Agencies
🔹 RS > 90: Leading Stocks,KTOS,58.41,98,96.0,96.0,95.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,GDS,36.6,98,97.0,98.0,98.0,Technology,Information Technology Services
🔹 RS > 90: Leading Stocks,IPX,40.0,98,97.0,92.0,95.0,Basic Materials,Other Industrial Metals & Mining
🔹 RS > 90: Leading Stocks,TSAT,25.43,98,97.0,97.0,97.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,AS,37.24,98,98.0,96.0,98.0,Consumer Cyclical,Leisure
🔹 RS > 90: Leading Stocks,TPR,108.04,98,96.0,96.0,96.0,Consumer Cyclical,Luxury Goods
🔹 RS > 90: Leading Stocks,XYZG,26.9,98,95.0,96.0,97.0,ETF,ETF
🔹 RS > 90: Leading Stocks,NET,195.96,97,98.0,93.0,96.0,Technology,Software - Infrastructure
🔹 RS > 90: Leading Stocks,UPST,81.61,97,96.0,95.0,97.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,SNWV,37.36,97,97.0,97.0,97.0,Healthcare,Medical Devices
🔹 RS > 90: Leading Stocks,AGX,234.64,97,98.0,98.0,97.0,Industrials,Engineering & Construction
🔹 RS > 90: Leading Stocks,TLN,347.42,97,97.0,97.0,97.0,Utilities,Utilities - Independent Power Producers
🔹 RS > 90: Leading Stocks,SOFI,21.26,97,97.0,95.0,97.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,NNE,38.74,97,96.0,98.0,99.0,Industrials,Specialty Industrial Machinery
🔹 RS > 90: Leading Stocks,INOD,46.3,97,98.0,99.0,99.0,Technology,Information Technology Services
🔹 RS > 90: Leading Stocks,SEI,33.31,97,97.0,97.0,99.0,Energy,Oil & Gas Equipment & Services
🔹 RS > 90: Leading Stocks,GRAL,39.41,97,99.0,99.0,98.0,Healthcare,Diagnostics & Research
🔹 RS > 90: Leading Stocks,SMU,46.68,97,97.0,98.0,97.0,ETF,ETF
🔹 RS > 90: Leading Stocks,SRRK,38.63,97,99.0,98.0,98.0,Healthcare,Biotechnology
🔹 RS > 90: Leading Stocks,SRAD,28.31,97,97.0,98.0,97.0,Technology,Software - Application
🔹 RS > 90: Leading Stocks,FEIM,26.28,97,97.0,97.0,93.0,Technology,Communication Equipment
🔹 RS > 90: Leading Stocks,YB,29.45,96,92.0,97.0,96.0,Technology,Software - Application
🔹 RS > 90: Leading Stocks,KDEF,41.4,96,98.0,96.0,96.0,ETF,ETF
🔹 RS > 90: Leading Stocks,FOA,24.21,96,98.0,99.0,99.0,Financial Services,Credit Services
🔹 RS > 90: Leading Stocks,CVNA,331.61,96,97.0,98.0,98.0,Consumer Cyclical,Auto & Truck Dealerships
🔹 RS > 90: Leading Stocks,HWM,189.47,96,97.0,97.0,95.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,ESLT,450.47,96,97.0,98.0,93.0,Industrials,Aerospace & Defense
🔹 RS > 90: Leading Stocks,COE,29.1,96,98.0,95.0,97.0,Consumer Defensive,Education & Training Services
🔹 RS > 90: Leading Stocks,CCRD,27.03,96,96.0,95.0,97.0,Technology,Software - Application
