Rank,Ticker,Price,Sector,Industry,RS Percentile,ATR,52WKH,52WKL,Earning_Date,E_Day1,E_Day2,E_Day3,E_Day4,E_Day5,E_Day6
808,MSM,123.34,Industrials,Industrial Distribution,87.0,3.6657,127.51,78.8,2026-07-01,122.78,121.14,120.07,118.99,120.66,123.02
1100,UNF,266.54,Industrials,Specialty Business Services,83.0,6.1436,283.77,147.66,2026-07-01,273.56,270.36,274.02,272.28,270.87,271.78
6233,FDS,245.55,Financial Services,Financial Data & Stock Exchanges,8.0,13.2336,453.41,185.0,2026-07-01,250.09,252.2,258.3,247.82,241.9,247.11
5555,LNN,122.12,Industrials,Farm & Heavy Construction Machinery,13.0,4.0814,149.16,97.27,2026-07-02,117.61,115.24,111.15,111.18,113.82,114.93
65,PENG,62.71,Technology,Information Technology Services,98.0,8.2843,77.4,16.04,2026-07-07,78.47,81.39,78.35,77.21,77.8,72.85
7103,KRUS,52.9,Consumer Cyclical,Restaurants,4.0,3.6729,95.98,42.62,2026-07-07,53.32,51.73,51.65,51.15,51.0,
567,PSMT,189.11,Consumer Defensive,Discount Stores,91.0,5.4896,199.84,101.3,2026-07-08,188.26,196.3,191.13,194.56,188.58,
671,PDEX,59.77,Healthcare,Medical Instruments & Supplies,90.0,4.2811,68.99,23.47,2026-07-08,62.04,62.89,61.55,58.26,56.54,
1136,AZZ,143.6,Industrials,Specialty Business Services,83.0,6.0043,162.2,92.98,2026-07-08,140.9,146.45,146.49,149.99,150.46,
2267,WDFC,239.42,Basic Materials,Specialty Chemicals,68.0,6.7463,253.24,175.38,2026-07-09,264.91,251.43,249.12,249.4,,
6376,PEP,137.86,Consumer Defensive,Beverages - Non-Alcoholic,14.0,3.8643,171.48,133.63,2026-07-09,137.38,138.49,135.45,135.4,,
624,DAL,87.39,Industrials,Airlines,90.0,3.0186,95.68,50.45,2026-07-10,86.19,85.51,85.96,,,
7364,NVVE,15.66,Consumer Cyclical,Specialty Retail,0.0,2.9932,712.8,3.79,2026-07-13,15.8,,,,,
83,AEHR,72.01,Technology,Semiconductor Equipment & Materials,97.0,9.4286,126.62,14.01,2026-07-14,87.79,,,,,
655,GS,1140.0,Financial Services,Capital Markets,89.0,34.1961,1143.79,691.3,2026-07-14,1152.07,,,,,
1159,C,133.27,Financial Services,Banks - Diversified,83.0,3.9745,147.96,87.94,2026-07-14,134.89,,,,,
2694,JPM,342.89,Financial Services,Banks - Diversified,61.0,7.4864,344.73,279.1,2026-07-14,346.91,,,,,
6164,PAC,225.95,Industrials,Airports & Air Services,13.0,7.9086,300.41,206.91,2026-07-14,227.8,,,,,
6422,WINA,376.66,Consumer Cyclical,Specialty Retail,10.0,16.5379,527.37,338.18,2026-07-14,376.76,,,,,
7037,NVVE,15.8,Consumer Cyclical,Specialty Retail,1.0,3.2011,702.72,3.79,2026-07-14,,,,,,
277,ASML,1815.27,Technology,Semiconductor Equipment & Materials,94.0,93.3614,1999.96,683.48,2026-07-15,,,,,,
336,FEIM,59.27,Technology,Communication Equipment,93.0,5.1596,80.0,18.73,2026-07-15,,,,,,
422,PKE,33.56,Industrials,Aerospace & Defense,91.0,2.0891,39.86,15.42,2026-07-15,,,,,,
460,BNY,162.35,Financial Services,Banks - Diversified,91.0,3.8843,162.73,93.37,2026-07-15,,,,,,
924,UAL,120.97,Industrials,Airlines,83.0,4.88,138.77,82.42,2026-07-15,,,,,,
930,PNC,254.15,Financial Services,Banks - Regional,83.0,5.4293,256.22,176.88,2026-07-15,,,,,,
969,GSBC,77.54,Financial Services,Banks - Regional,82.0,2.4304,82.4,53.76,2026-07-15,,,,,,
974,JNJ,247.02,Healthcare,Drug Manufacturers - General,82.0,6.9014,269.43,159.8,2026-07-15,,,,,,
1315,KARO,58.58,Technology,Software - Application,76.0,2.3666,60.53,41.25,2026-07-15,,,,,,
1477,ELV,390.33,Healthcare,Healthcare Plans,73.0,14.5455,436.24,273.71,2026-07-15,,,,,,
3645,CTAS,192.37,Industrials,Specialty Business Services,36.0,4.8993,226.75,161.16,2026-07-15,,,,,,
3854,BLK,1093.4,Financial Services,Asset Management,33.0,28.5264,1219.94,917.39,2026-07-15,,,,,,
4984,PGR,205.22,Financial Services,Insurance - Property & Casualty,14.0,7.335,254.93,189.2,2026-07-15,,,,,,
5106,WINA,376.76,Consumer Cyclical,Specialty Retail,12.0,16.6643,527.37,338.18,2026-07-15,,,,,,
